ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
230;117322;80;La haine (1995);98;Crime, Drama;"Vincent Cassel; Hubert Koundé; Saïd Taghmaoui"
231;88985;80;Faa yeung nin wa (2000);;;
232;490746;80;Groundhog Day (1993);101;Comedy, Drama, Fantasy;"Bill Murray; Andie MacDowell; Chris Elliott"
233;461570;80;Jaws (1975);124;Adventure, Drama, Horror;"Roy Scheider; Robert Shaw; Richard Dreyfuss"
234;460550;80;Prisoners (2013);153;Crime, Drama, Mystery;"Hugh Jackman; Jake Gyllenhaal; Viola Davis"
235;424316;80;Rocky (1976);120;Drama, Sport;"Sylvester Stallone; Talia Shire; Burt Young"
236;543338;80;The Bourne Ultimatum (2007);115;Action, Mystery, Thriller;"Matt Damon; Edgar Ramírez; Joan Allen"
237;355833;80;The Help (2011);146;Drama;"Viola Davis; Emma Stone; Octavia Spencer"
238;88077;80;8½ (1963);138;Drama;"Marcello Mastroianni; Anouk Aimée; Claudia Cardinale"
239;321107;80;The Wizard of Oz (1939);102;Adventure, Family, Fantasy;"Judy Garland; Frank Morgan; Ray Bolger"
240;310883;80;Dead Poets Society (1989);128;Comedy, Drama;"Robin Williams; Robert Sean Leonard; Ethan Hawke"
241;618562;80;Harry Potter and the Deathly Hallows: Part 2 (2011);130;Adventure, Family, Fantasy;"Daniel Radcliffe; Emma Watson; Rupert Grint"
242;624495;80;Catch Me If You Can (2002);141;Biography, Crime, Drama;"Leonardo DiCaprio; Tom Hanks; Christopher Walken"
243;350813;80;Beauty and the Beast (1991);84;Animation, Family, Fantasy;"Paige O'Hara; Robby Benson; Jesse Corti"
244;644118;80;Donnie Darko (2001);113;Drama, Mystery, Sci-Fi;"Jake Gyllenhaal; Jena Malone; Mary McDonnell"
245;217245;80;Annie Hall (1977);93;Comedy, Romance;"Woody Allen; Diane Keaton; Tony Roberts"
246;111473;80;Tenkû no shiro Rapyuta (1986);13;Documentary, Short;"Joe Hisaishi; Yoshinori Kanada; Hayao Miyazaki"
247;114697;80;Barry Lyndon (1975);185;Adventure, Drama, War;"Ryan O'Neal; Marisa Berenson; Patrick Magee"
248;114769;80;PK (2014);153;Comedy, Drama, Sci-Fi;"Aamir Khan; Anushka Sharma; Sanjay Dutt"
249;101710;80;Mou gaan dou (2002);;;
250;665696;80;The Terminator (1984);107;Action, Adventure, Sci-Fi;"Arnold Schwarzenegger; Linda Hamilton; Michael Biehn"
251;201845;80;Dog Day Afternoon (1975);125;Biography, Crime, Drama;"Al Pacino; John Cazale; Penelope Allen"
252;661782;80;Monsters, Inc. (2001);92;Animation, Adventure, Comedy;"Billy Crystal; John Goodman; Mary Gibbs"
253;189632;80;Gandhi (1982);191;Biography, Drama, History;"Ben Kingsley; John Gielgud; Rohini Hattangadi"
254;28277;76;"""12 Monkeys"" (2015)";42;Adventure, Drama, Mystery;"Aaron Stanford; Amanda Schull; Noah Bean"
255;79248;67;"""2 Broke Girls"" (2011)";22;Comedy;"Kat Dennings; Beth Behrs; Garrett Morris"
256;16894;18;Birdemic: Shock and Terror (2010);105;Horror, Thriller;"Alan Bagh; Whitney Moore; Tippi Hedren"
257;14431;18;Dünyayi Kurtaran Adam'in Oglu (2006);;;
258;32272;17;Manos: The Hands of Fate (1966);70;Horror;"Tom Neyman; John Reynolds; Diane Adelson"
259;16019;17;Pledge This! (2006);91;Comedy;"Paris Hilton; Simon Rex; Paula Garcés"
260;27008;16;Superbabies: Baby Geniuses 2 (2004);88;Comedy, Family, Sci-Fi;"Jon Voight; Scott Baio; Vanessa Angel"
261;13444;16;Daniel der Zauberer (2004);;;
262;13258;15;Saving Christmas (2014);79;Comedy, Family;"Kirk Cameron; Darren Doane; Bridgette Cameron"
263;25677;14;Kod Adi K.O.Z. (2015);;;
